web-scraper-order,web-scraper-start-url,função / subfunção,Dotação Orçamentária,Valor Empenhado,%(B/A)%,Valor Liquidado,Valor Pago
"1676496998-590","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","80.538,00","27.337,65","33,94","27.337,65","0,00"
"1676496998-591","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA A CRIANCA E AO ADOLESCENTE","71.936.656,00","63.232.842,32","87,90","59.623.428,67","59.161.881,39"
"1676496998-592","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA COMUNITARIA","85.654.518,00","59.326.883,02","69,26","57.000.310,87","56.357.265,08"
"1676496998-593","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ALIMENTACAO E NUTRICAO","1.530.523,00","486.211,71","31,77","453.672,65","453.374,31"
"1676496998-594","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PREVIDENCIA SOCIAL","1.129.940.589,00","1.065.216.998,53","94,27","1.062.253.424,61","1.061.776.705,58"
"1676496998-595","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","466.095.641,00","433.780.609,58","93,07","430.817.035,66","430.340.316,63"
"1676496998-596","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","5.501.000,00","0,00","0,00","0,00","0,00"
"1676496998-597","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","COMUNICACAO SOCIAL","40.000,00","0,00","0,00","0,00","0,00"
"1676496998-598","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PREVIDÊNCIA DO REGIME ESTATUTÁRIO","658.303.948,00","631.436.388,95","95,92","631.436.388,95","631.436.388,95"
"1676496998-599","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SAUDE","2.974.880.394,00","2.773.182.702,12","93,22","2.625.714.895,21","2.597.884.739,19"
"1676496998-600","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","450.014.809,00","420.753.443,88","93,50","372.782.300,57","371.056.452,14"
"1676496998-601","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","7.643.192,00","6.547.560,97","85,67","5.964.075,79","5.964.075,79"
"1676496998-602","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","431.000,00","0,00","0,00","0,00","0,00"
"1676496998-603","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ATENCAO BASICA","617.720.550,00","579.720.588,97","93,85","571.832.009,93","571.174.377,95"
"1676496998-604","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA HOSPITALAR E AMBULATORIAL","1.757.905.651,00","1.647.096.774,61","93,70","1.559.966.953,25","1.536.673.167,28"
"1676496998-605","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SUPORTE PROFILATICO E TERAPEUTICO","26.999.468,00","24.912.690,95","92,27","24.736.110,45","24.736.110,45"
"1676496998-606","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","VIGILANCIA SANITARIA","89.332.334,00","80.675.990,78","90,31","79.107.163,24","78.221.498,09"
"1676496998-607","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","VIGILANCIA EPIDEMIOLOGICA","3.943.184,00","3.275.876,95","83,08","3.043.882,44","3.043.882,44"
"1676496998-608","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFRA-ESTRUTURA URBANA","11.157.006,00","849.201,92","7,61","607.242,46","607.242,46"
"1676496998-609","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","OUTROS ENCARGOS ESPECIAIS","9.733.200,00","9.350.573,09","96,07","7.675.157,08","6.407.932,59"
"1676496998-610","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TRABALHO","8.129.236,00","3.450.744,82","42,45","3.432.117,66","3.411.164,64"
"1676496998-611","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EMPREGABILIDADE","8.129.236,00","3.450.744,82","42,45","3.432.117,66","3.411.164,64"
"1676496998-612","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EDUCACAO","2.246.167.105,00","2.114.060.590,89","94,12","1.982.382.698,65","1.970.690.748,02"
"1676496998-613","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","74.180.800,00","63.378.811,03","85,44","62.971.225,67","62.971.225,67"
"1676496998-614","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","1.260.216,00","143.572,95","11,39","143.572,95","143.572,95"
"1676496998-615","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","2.000,00","0,00","0,00","0,00","0,00"
"1676496998-616","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA A CRIANCA E AO ADOLESCENTE","57.181.079,00","57.133.255,81","99,92","56.958.005,89","56.958.005,89"
"1676496998-617","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENSINO FUNDAMENTAL","1.497.570.356,00","1.459.539.045,91","97,46","1.376.957.102,54","1.371.237.629,41"
"1676496998-618","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENSINO MEDIO","535.000,00","521.830,00","97,54","521.830,00","521.830,00"
"1676496998-619","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENSINO PROFISSIONAL","62.228,00","17.984,00","28,90","17.984,00","17.984,00"
"1676496998-620","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EDUCACAO INFANTIL","358.415.954,00","320.547.848,16","89,43","294.357.772,17","290.708.224,91"
"1676496998-621","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EDUCACAO DE JOVENS E ADULTOS","3.391.008,00","2.984.921,53","88,02","2.984.921,53","2.984.921,53"
"1676496998-622","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EDUCACAO ESPECIAL","59.730,00","0,00","0,00","0,00","0,00"
"1676496998-623","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EDUCACAO BASICA","181.554.839,00","151.397.908,48","83,39","132.937.679,10","130.614.748,86"
"1676496998-624","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFRA-ESTRUTURA URBANA","71.801.895,00","58.264.672,72","81,15","54.401.864,50","54.401.864,50"
"1676496998-625","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","OUTROS ENCARGOS ESPECIAIS","152.000,00","130.740,30","86,01","130.740,30","130.740,30"
"1676496998-626","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","CULTURA","100.042.367,00","83.328.486,20","83,29","75.203.332,04","73.335.155,17"
"1676496998-627","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","23.992.607,00","18.593.628,52","77,50","16.668.781,43","16.373.598,47"
"1676496998-628","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","1.134.000,00","100.382,60","8,85","100.382,60","90.065,60"
"1676496998-629","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA A CRIANCA E AO ADOLESCENTE","4.195.000,00","4.169.214,13","99,39","4.169.214,13","3.169.214,13"
"1676496998-630","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO","1.059.852,00","740.346,72","69,85","343.190,23","343.190,23"
"1676496998-631","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DIFUSAO CULTURAL","46.327.302,00","36.993.107,83","79,85","34.803.470,15","34.647.161,49"
"1676496998-632","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFRA-ESTRUTURA URBANA","23.333.606,00","22.731.806,40","97,42","19.118.293,50","18.711.925,25"
"1676496998-633","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DIREITOS DA CIDADANIA","58.494.661,00","34.498.919,63","58,98","33.033.417,45","30.602.774,18"
"1676496998-634","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","1.401.233,00","456.756,94","32,60","456.756,94","456.756,94"
"1676496998-635","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","NORMALIZACAO E FISCALIZACAO","17.781.379,00","12.502.456,35","70,31","11.982.526,11","11.537.379,37"
"1676496998-636","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","27.000,00","0,00","0,00","0,00","0,00"
"1676496998-637","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFORMACAO E INTELIGENCIA","0,00","0,00","0,00","0,00","0,00"
"1676496998-638","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA AO IDOSO","580.392,00","392,00","0,07","392,00","392,00"
"1676496998-639","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA AO PORTADOR DE DEFICIENCIA","1.250.402,00","0,00","0,00","0,00","0,00"
"1676496998-640","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA A CRIANCA E AO ADOLESCENTE","4.890.272,00","486.747,15","9,95","450.436,04","450.436,04"
"1676496998-641","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA COMUNITARIA","199.000,00","187.841,45","94,39","187.505,07","187.505,07"
"1676496998-642","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","32.364.983,00","20.864.725,74","64,47","19.955.801,29","17.970.304,76"
"1676496998-643","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","URBANISMO","1.053.613.944,00","925.313.289,49","87,82","833.466.449,99","819.724.303,69"
"1676496998-644","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","18.407.302,00","17.834.423,89","96,89","17.810.148,26","17.633.000,09"
"1676496998-645","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","1.018.400,00","70.353,16","6,91","70.113,16","35.549,96"
"1676496998-646","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ORDENAMENTO TERRITORIAL","19.894.325,00","8.276.048,06","41,60","2.427.108,03","2.427.108,03"
"1676496998-647","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","0,00","0,00","0,00","0,00","0,00"
"1676496998-648","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","VIGILANCIA SANITARIA","50.251.577,00","50.248.577,00","99,99","45.781.476,43","45.781.476,43"
"1676496998-649","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFRA-ESTRUTURA URBANA","467.867.334,00","368.563.507,18","78,78","313.522.363,68","304.142.586,66"
"1676496998-650","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SERVICOS URBANOS","318.144.967,00","309.392.943,63","97,25","287.472.696,42","286.138.705,36"
"1676496998-651","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TRANSPORTES COLETIVOS URBANOS","138.057.619,00","132.159.521,15","95,73","130.093.965,47","127.277.298,62"
"1676496998-652","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PRESERVACAO E CONSERVACAO AMBIENTAL","0,00","0,00","0,00","0,00","0,00"
"1676496998-653","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","RECUPERACAO DE AREAS DEGRADADAS","155.000,00","0,00","0,00","0,00","0,00"
"1676496998-654","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","RECURSOS HIDRICOS","5.796.000,00","5.794.032,84","99,97","5.794.032,84","5.794.032,84"
"1676496998-655","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","CONSERVACAO DE ENERGIA","34.021.420,00","32.973.882,58","96,92","30.494.545,70","30.494.545,70"
"1676496998-656","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","HABITACAO","59.181.950,00","15.592.749,67","26,35","15.558.444,09","15.437.480,81"
"1676496998-657","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","3.346.058,00","2.866.344,36","85,66","2.832.038,78","2.761.814,78"
"1676496998-658","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","36.000,00","25.625,54","71,18","25.625,54","25.625,54"
"1676496998-659","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","HABITACAO URBANA","55.799.892,00","12.700.779,77","22,76","12.700.779,77","12.650.040,49"
"1676496998-660","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SANEAMENTO","172.392.022,00","160.811.880,29","93,28","126.939.223,82","126.939.223,82"
"1676496998-661","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SANEAMENTO BASICO URBANO","172.392.022,00","160.811.880,29","93,28","126.939.223,82","126.939.223,82"
"1676496998-662","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","GESTAO AMBIENTAL","88.051.981,00","80.526.195,68","91,45","75.648.268,33","75.336.268,39"
"1676496998-663","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","59.337.392,00","58.294.702,94","98,24","58.131.300,50","57.945.501,28"
"1676496998-664","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","NORMALIZACAO E FISCALIZACAO","6.083.487,00","3.848.427,83","63,26","3.416.234,49","3.400.880,59"
"1676496998-665","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","256.000,00","64.085,06","25,03","64.085,06","64.085,06"
"1676496998-666","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFRA-ESTRUTURA URBANA","153.000,00","0,00","0,00","0,00","0,00"
"1676496998-667","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PRESERVACAO E CONSERVACAO AMBIENTAL","20.805.645,00","18.125.367,35","87,12","13.972.110,78","13.861.263,96"
"1676496998-668","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","CONTROLE AMBIENTAL","1.290.457,00","193.612,50","15,00","64.537,50","64.537,50"
"1676496998-669","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","RECUPERACAO DE AREAS DEGRADADAS","126.000,00","0,00","0,00","0,00","0,00"
"1676496998-670","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","CIENCIA E TECNOLOGIA","8.067.909,00","4.676.948,65","57,97","4.256.468,21","3.944.899,13"
